molecule_name;atom_index;atom;x;y;z
dsgdb9nsd_000001;0;C;-0.012698;1.085804;0.008001
dsgdb9nsd_000001;1;H;0.002150;-0.006031;0.001976
dsgdb9nsd_000001;2;H;1.011731;1.463751;0.000277
dsgdb9nsd_000001;3;H;-0.540815;1.447527;-0.876644
dsgdb9nsd_000001;4;H;-0.523814;1.437933;0.906397
dsgdb9nsd_000002;0;N;-0.040426;1.024108;0.062564
dsgdb9nsd_000002;1;H;0.017257;0.012545;-0.027377
dsgdb9nsd_000002;2;H;0.915789;1.358745;-0.028758
dsgdb9nsd_000002;3;H;-0.520278;1.343532;-0.775543
dsgdb9nsd_000003;0;O;-0.034360;0.977540;0.007602
dsgdb9nsd_000003;1;H;0.064766;0.020572;0.001535
dsgdb9nsd_000003;2;H;0.871790;1.300792;0.000693
dsgdb9nsd_000004;0;C;0.599539;0.000000;1.000000
dsgdb9nsd_000004;1;C;-0.599539;0.000000;1.000000
dsgdb9nsd_000004;2;H;-1.661639;0.000000;1.000000
dsgdb9nsd_000004;3;H;1.661639;0.000000;1.000000
dsgdb9nsd_000005;0;C;-0.013324;1.132466;0.008276
dsgdb9nsd_000005;1;N;0.002311;-0.019159;0.001929
dsgdb9nsd_000005;2;H;-0.027803;2.198949;0.014154
dsgdb9nsd_000007;0;C;-0.018704;1.525582;0.010433
dsgdb9nsd_000007;1;C;0.002104;-0.003882;0.001999
dsgdb9nsd_000007;2;H;0.994873;1.939743;0.002941
dsgdb9nsd_000007;3;H;-0.542076;1.923611;-0.865117
dsgdb9nsd_000007;4;H;-0.525241;1.914173;0.900024
dsgdb9nsd_000007;5;H;0.525487;-0.401908;0.877544
dsgdb9nsd_000007;6;H;-1.011477;-0.418034;0.009508
dsgdb9nsd_000007;7;H;0.508626;-0.392470;-0.887601
dsgdb9nsd_000008;0;C;-0.008288;1.390470;-0.005601
dsgdb9nsd_000008;1;O;-0.007970;-0.025045;0.020306
dsgdb9nsd_000008;2;H;1.006583;1.815564;0.003483
dsgdb9nsd_133884;4;C;1.629865;-0.747236;0.235262
dsgdb9nsd_133884;5;C;1.415947;0.620773;0.939122
dsgdb9nsd_133884;6;C;-0.027076;0.747033;0.478506
dsgdb9nsd_133884;7;C;-0.131901;0.356983;-1.010196
dsgdb9nsd_133884;8;C;0.787756;-0.840138;-1.042152
dsgdb9nsd_133884;9;H;-2.089736;1.406820;1.185940
dsgdb9nsd_133884;10;H;-1.538994;2.260262;-0.305456
dsgdb9nsd_133884;11;H;-1.326785;-0.814272;1.567299
dsgdb9nsd_133884;12;H;0.299624;-2.630218;0.305560
dsgdb9nsd_133884;13;H;2.582409;-1.260138;0.293499
dsgdb9nsd_133884;14;H;2.087537;1.391489;0.548687
dsgdb9nsd_133884;15;H;1.542918;0.547487;2.023550
dsgdb9nsd_133884;16;H;-0.084531;1.110807;-1.796741
dsgdb9nsd_133884;17;H;1.126550;-1.348733;-1.933838
dsgdb9nsd_133885;0;C;-1.409877;1.337337;0.409953
dsgdb9nsd_133885;1;N;-1.564594;0.099125;-0.516941
dsgdb9nsd_133885;2;C;-0.832899;-0.707550;0.604295
dsgdb9nsd_133885;3;C;0.271030;-1.618614;0.144805
dsgdb9nsd_133885;4;C;1.528454;-0.755123;0.339508
dsgdb9nsd_133885;5;O;1.250213;0.458640;1.047119
dsgdb9nsd_133885;6;C;-0.057400;0.611210;0.541102
dsgdb9nsd_133885;7;C;-0.095929;0.380424;-0.972098
dsgdb9nsd_133885;8;C;0.816694;-0.813067;-1.022360
dsgdb9nsd_133885;9;H;-2.090436;1.327066;1.263661
dsgdb9nsd_133885;10;H;-1.440042;2.287218;-0.127543
dsgdb9nsd_133885;11;H;-1.454004;-0.967309;1.459246
dsgdb9nsd_133885;12;H;0.277779;-2.697872;0.195770
dsgdb9nsd_133885;13;H;2.515854;-1.151784;0.527369
dsgdb9nsd_133885;14;H;0.013699;1.199431;-1.680192
dsgdb9nsd_133885;15;H;1.260745;-1.246754;-1.906767